region	Score	pvalue	cell	depth	subtreesize	CNA	adjustp
CPVL	-0.19999999999999996	1.0	cell_4	2	5	DEL	1.0
TAX1BP1	-0.19999999999999996	1.0	cell_4	2	5	DEL	1.0
CBX3	-0.19999999999999996	1.0	cell_4	2	5	DEL	1.0
HNRNPA2B1	-0.19999999999999996	1.0	cell_4	2	5	DEL	1.0
CYCS	-0.19999999999999996	1.0	cell_4	2	5	DEL	1.0
TRA2A	-0.19999999999999996	1.0	cell_4	2	5	DEL	1.0
MALSU1	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
NUPL2	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
TSPAN13	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
ARL4A	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
NDUFA4	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
FSCN1	-0.19999999999999996	1.0	cell_4	2	5	DEL	1.0
ACTB	-0.19999999999999996	1.0	cell_4	2	5	DEL	1.0
BRAT1	-0.19999999999999996	1.0	cell_4	2	5	DEL	1.0
CHST12	-0.19999999999999996	1.0	cell_4	2	5	DEL	1.0
YWHAG	-0.6000000000000001	1.0	cell_4	2	5	DEL	1.0
GNAI1	-0.6000000000000001	1.0	cell_4	2	5	DEL	1.0
COL1A2	-0.8	1.0	cell_4	2	5	DEL	1.0
SHFM1	-0.8	1.0	cell_4	2	5	DEL	1.0
NDUFB2	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
C7orf49	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
BPGM	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
EXOC4	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
CHCHD3	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
IMPDH1	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
FAM3C	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
TES	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
ZYX	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
IFRD1	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
SYPL1	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
PSMC2	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
UPK3BL	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
CUX1	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
ZNHIT1	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
PLOD3	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
SERPINE1	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
ATP5J2	-0.8	1.0	cell_4	2	5	DEL	1.0
PNPLA8	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
PDGFA	0.20000000000000018	1.0	cell_4	2	5	AMP	1.0
YWHAZ	1.6	1.0	cell_4	2	5	AMP	1.0
KLF10	1.6	1.0	cell_4	2	5	AMP	1.0
GOLT1B	-1.8	1.0	cell_4	2	5	DEL	1.0
STRAP	-1.8	1.0	cell_4	2	5	DEL	1.0
ARHGDIB	-1.8	1.0	cell_4	2	5	DEL	1.0
ATF7IP	-1.8	1.0	cell_4	2	5	DEL	1.0
GABARAPL1	-1.8	1.0	cell_4	2	5	DEL	1.0
A2M	-1.8	1.0	cell_4	2	5	DEL	1.0
M6PR	-1.8	1.0	cell_4	2	5	DEL	1.0
PHB2	-2.0	1.0	cell_4	2	5	DEL	1.0
EMG1	-2.0	1.0	cell_4	2	5	DEL	1.0
PTPN6	-2.0	1.0	cell_4	2	5	DEL	1.0
C12orf57	-2.0	1.0	cell_4	2	5	DEL	1.0
MLF2	-2.0	1.0	cell_4	2	5	DEL	1.0
COPS7A	-2.0	1.0	cell_4	2	5	DEL	1.0
CHD4	-2.0	1.0	cell_4	2	5	DEL	1.0
TAPBPL	-2.0	1.0	cell_4	2	5	DEL	1.0
LTBR	-2.0	1.0	cell_4	2	5	DEL	1.0
NDUFA9	-2.0	1.0	cell_4	2	5	DEL	1.0
LDHB	-1.8	1.0	cell_4	2	5	DEL	1.0
ZCRB1	-1.0	1.0	cell_4	2	5	DEL	1.0
SLC38A1	-1.0	1.0	cell_4	2	5	DEL	1.0
FKBP11	-1.0	1.0	cell_4	2	5	DEL	1.0
RSRC2	0.3999999999999999	1.0	cell_4	2	5	AMP	1.0
DYNLL1	0.3999999999999999	1.0	cell_4	2	5	AMP	1.0
COX6A1	0.3999999999999999	1.0	cell_4	2	5	AMP	1.0
PXN	0.3999999999999999	1.0	cell_4	2	5	AMP	1.0
RPLP0	0.3999999999999999	1.0	cell_4	2	5	AMP	1.0
HSPB8	0.3999999999999999	1.0	cell_4	2	5	AMP	1.0
RBM19	0.3999999999999999	1.0	cell_4	2	5	AMP	1.0
OAS1	0.3999999999999999	1.0	cell_4	2	5	AMP	1.0
PTEN	0.20000000000000018	1.0	cell_4	2	5	AMP	1.0
TRAFD1	0.20000000000000018	1.0	cell_4	2	5	AMP	1.0
ALDH2	0.20000000000000018	1.0	cell_4	2	5	AMP	1.0
KRT6B	-0.19999999999999996	1.0	cell_4	2	5	DEL	1.0
NR4A1	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
DAZAP2	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
LARP4	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
CERS5	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
TUBA1C	-1.0	1.0	cell_4	2	5	DEL	1.0
PRKAG1	-1.0	1.0	cell_4	2	5	DEL	1.0
ERP29	0.20000000000000018	1.0	cell_4	2	5	AMP	1.0
ZNF706	1.6	1.0	cell_4	2	5	AMP	1.0
GLUD1	0.20000000000000018	1.0	cell_4	2	5	AMP	1.0
TSPAN14	0.20000000000000018	1.0	cell_4	2	5	AMP	1.0
FAM49B	1.7999999999999998	1.0	cell_4	2	5	AMP	1.0
NSMCE2	1.7999999999999998	1.0	cell_4	2	5	AMP	1.0
KIAA0196	1.7999999999999998	1.0	cell_4	2	5	AMP	1.0
SQLE	1.7999999999999998	1.0	cell_4	2	5	AMP	1.0
MTSS1	1.7999999999999998	1.0	cell_4	2	5	AMP	1.0
NDUFB9	1.7999999999999998	1.0	cell_4	2	5	AMP	1.0
TATDN1	1.7999999999999998	1.0	cell_4	2	5	AMP	1.0
FAM83A	1.7999999999999998	1.0	cell_4	2	5	AMP	1.0
MRPL13	1.7999999999999998	1.0	cell_4	2	5	AMP	1.0
MED30	1.7999999999999998	1.0	cell_4	2	5	AMP	1.0
EIF3H	1.7999999999999998	1.0	cell_4	2	5	AMP	1.0
EMC2	1.7999999999999998	1.0	cell_4	2	5	AMP	1.0
SLC25A32	1.6	1.0	cell_4	2	5	AMP	1.0
CTHRC1	1.6	1.0	cell_4	2	5	AMP	1.0
FZD6	1.6	1.0	cell_4	2	5	AMP	1.0
ATP6V1C1	1.6	1.0	cell_4	2	5	AMP	1.0
AZIN1	1.6	1.0	cell_4	2	5	AMP	1.0
EFR3A	1.7999999999999998	1.0	cell_4	2	5	AMP	1.0
PHF20L1	1.7999999999999998	1.0	cell_4	2	5	AMP	1.0
NDRG1	1.7999999999999998	1.0	cell_4	2	5	AMP	1.0
CHRAC1	1.7999999999999998	1.0	cell_4	2	5	AMP	1.0
FAM213A	0.20000000000000018	1.0	cell_4	2	5	AMP	1.0
RPS24	0.3999999999999999	1.0	cell_4	2	5	AMP	1.0
COMTD1	0.3999999999999999	1.0	cell_4	2	5	AMP	1.0
PLAU	0.20000000000000018	1.0	cell_4	2	5	AMP	1.0
ANXA7	0.20000000000000018	1.0	cell_4	2	5	AMP	1.0
C8orf33	1.7999999999999998	1.0	cell_4	2	5	AMP	1.0
COMMD5	1.7999999999999998	1.0	cell_4	2	5	AMP	1.0
CYHR1	1.7999999999999998	1.0	cell_4	2	5	AMP	1.0
ADIRF	0.20000000000000018	1.0	cell_4	2	5	AMP	1.0
SLC52A2	1.7999999999999998	1.0	cell_4	2	5	AMP	1.0
MAF1	1.7999999999999998	1.0	cell_4	2	5	AMP	1.0
CYC1	1.7999999999999998	1.0	cell_4	2	5	AMP	1.0
GPAA1	1.7999999999999998	1.0	cell_4	2	5	AMP	1.0
GRINA	1.7999999999999998	1.0	cell_4	2	5	AMP	1.0
PLEC	1.7999999999999998	1.0	cell_4	2	5	AMP	1.0
PUF60	1.7999999999999998	1.0	cell_4	2	5	AMP	1.0
NAPRT1	1.7999999999999998	1.0	cell_4	2	5	AMP	1.0
LY6D	1.7999999999999998	1.0	cell_4	2	5	AMP	1.0
HSF1	1.7999999999999998	1.0	cell_4	2	5	AMP	1.0
TMED2	0.3999999999999999	1.0	cell_4	2	5	AMP	1.0
EIF2B1	0.2857142857142856	1.0	cell_7	1	7	AMP	1.0
RSRC2	0.5714285714285716	1.0	cell_7	1	7	AMP	1.0
YTHDF3	1.0	1.0	cell_7	1	7	AMP	1.0
GGH	1.0	1.0	cell_7	1	7	AMP	1.0
RAB2A	1.0	1.0	cell_7	1	7	AMP	1.0
MRPL15	0.8571428571428572	1.0	cell_7	1	7	AMP	1.0
RB1CC1	0.7142857142857144	1.0	cell_7	1	7	AMP	1.0
MCM4	0.7142857142857144	1.0	cell_7	1	7	AMP	1.0
PRKDC	0.5714285714285716	1.0	cell_7	1	7	AMP	1.0
FNTA	0.4285714285714284	1.0	cell_7	1	7	AMP	1.0
LEPROTL1	-0.1428571428571428	1.0	cell_7	1	7	DEL	1.0
TMEM66	-0.1428571428571428	1.0	cell_7	1	7	DEL	1.0
BNIP3L	-0.1428571428571428	1.0	cell_7	1	7	DEL	1.0
REEP4	-0.1428571428571428	1.0	cell_7	1	7	DEL	1.0
ATP6V1B2	-0.1428571428571428	1.0	cell_7	1	7	DEL	1.0
ASAH1	-0.2857142857142858	1.0	cell_7	1	7	DEL	1.0
MTUS1	-0.2857142857142858	1.0	cell_7	1	7	DEL	1.0
CNOT7	-0.2857142857142858	1.0	cell_7	1	7	DEL	1.0
FDFT1	-0.2857142857142858	1.0	cell_7	1	7	DEL	1.0
SNHG6	1.0	1.0	cell_7	1	7	AMP	1.0
RPL7	1.0	1.0	cell_7	1	7	AMP	1.0
UBE2W	1.0	1.0	cell_7	1	7	AMP	1.0
TCEB1	1.0	1.0	cell_7	1	7	AMP	1.0
POLR2K	1.2857142857142856	1.0	cell_7	1	7	AMP	1.0
VPS13B	1.2857142857142856	1.0	cell_7	1	7	AMP	1.0
STK3	1.2857142857142856	1.0	cell_7	1	7	AMP	1.0
LAPTM4B	1.2857142857142856	1.0	cell_7	1	7	AMP	1.0
PTDSS1	1.1428571428571428	1.0	cell_7	1	7	AMP	1.0
MTERFD1	1.1428571428571428	1.0	cell_7	1	7	AMP	1.0
UQCRB	1.1428571428571428	1.0	cell_7	1	7	AMP	1.0
ESRP1	1.2857142857142856	1.0	cell_7	1	7	AMP	1.0
INSIG1	-1.2857142857142856	1.0	cell_7	1	7	DEL	1.0
DECR1	1.1428571428571428	1.0	cell_7	1	7	AMP	1.0
CPNE3	1.1428571428571428	1.0	cell_7	1	7	AMP	1.0
RMDN1	1.1428571428571428	1.0	cell_7	1	7	AMP	1.0
CA2	1.1428571428571428	1.0	cell_7	1	7	AMP	1.0
C8orf59	1.0	1.0	cell_7	1	7	AMP	1.0
ZFAND1	1.0	1.0	cell_7	1	7	AMP	1.0
FABP4	1.0	1.0	cell_7	1	7	AMP	1.0
FABP5	1.0	1.0	cell_7	1	7	AMP	1.0
PEX2	1.0	1.0	cell_7	1	7	AMP	1.0
NBN	1.1428571428571428	1.0	cell_7	1	7	AMP	1.0
PABPC1	1.2857142857142856	1.0	cell_7	1	7	AMP	1.0
RHEB	-1.1428571428571428	1.0	cell_7	1	7	DEL	1.0
RARRES2	-0.8571428571428572	1.0	cell_7	1	7	DEL	1.0
TAX1BP1	0.7142857142857144	1.0	cell_7	1	7	AMP	1.0
CBX3	0.7142857142857144	1.0	cell_7	1	7	AMP	1.0
HNRNPA2B1	0.7142857142857144	1.0	cell_7	1	7	AMP	1.0
CYCS	0.7142857142857144	1.0	cell_7	1	7	AMP	1.0
TRA2A	0.7142857142857144	1.0	cell_7	1	7	AMP	1.0
MALSU1	0.7142857142857144	1.0	cell_7	1	7	AMP	1.0
NUPL2	0.7142857142857144	1.0	cell_7	1	7	AMP	1.0
TSPAN13	0.7142857142857144	1.0	cell_7	1	7	AMP	1.0
ARL4A	0.7142857142857144	1.0	cell_7	1	7	AMP	1.0
NDUFA4	0.7142857142857144	1.0	cell_7	1	7	AMP	1.0
FSCN1	0.5714285714285716	1.0	cell_7	1	7	AMP	1.0
ACTB	0.5714285714285716	1.0	cell_7	1	7	AMP	1.0
BRAT1	0.5714285714285716	1.0	cell_7	1	7	AMP	1.0
CHST12	0.5714285714285716	1.0	cell_7	1	7	AMP	1.0
EIF3B	0.7142857142857144	1.0	cell_7	1	7	AMP	1.0
PSMG3	0.7142857142857144	1.0	cell_7	1	7	AMP	1.0
C7orf50	0.7142857142857144	1.0	cell_7	1	7	AMP	1.0
CPVL	0.7142857142857144	1.0	cell_7	1	7	AMP	1.0
GGCT	0.7142857142857144	1.0	cell_7	1	7	AMP	1.0
ATP5J2	-0.1428571428571428	1.0	cell_7	1	7	DEL	1.0
SERPINE1	-0.1428571428571428	1.0	cell_7	1	7	DEL	1.0
ZYX	-0.8571428571428572	1.0	cell_7	1	7	DEL	1.0
CASP2	-0.8571428571428572	1.0	cell_7	1	7	DEL	1.0
NDUFB2	-0.4285714285714286	1.0	cell_7	1	7	DEL	1.0
C7orf49	-0.4285714285714286	1.0	cell_7	1	7	DEL	1.0
BPGM	-0.4285714285714286	1.0	cell_7	1	7	DEL	1.0
EXOC4	-0.4285714285714286	1.0	cell_7	1	7	DEL	1.0
CHCHD3	-0.4285714285714286	1.0	cell_7	1	7	DEL	1.0
IMPDH1	-0.4285714285714286	1.0	cell_7	1	7	DEL	1.0
TMEM176B	-0.8571428571428572	1.0	cell_7	1	7	DEL	1.0
FAM3C	-0.4285714285714286	1.0	cell_7	1	7	DEL	1.0
IFRD1	-0.4285714285714286	1.0	cell_7	1	7	DEL	1.0
PNPLA8	-0.4285714285714286	1.0	cell_7	1	7	DEL	1.0
SYPL1	-0.1428571428571428	1.0	cell_7	1	7	DEL	1.0
PSMC2	-0.1428571428571428	1.0	cell_7	1	7	DEL	1.0
UPK3BL	-0.1428571428571428	1.0	cell_7	1	7	DEL	1.0
CUX1	-0.1428571428571428	1.0	cell_7	1	7	DEL	1.0
ZNHIT1	-0.1428571428571428	1.0	cell_7	1	7	DEL	1.0
PLOD3	-0.1428571428571428	1.0	cell_7	1	7	DEL	1.0
TES	-0.4285714285714286	1.0	cell_7	1	7	DEL	1.0
TMED2	0.2857142857142856	1.0	cell_7	1	7	AMP	1.0
YWHAZ	1.2857142857142856	1.0	cell_7	1	7	AMP	1.0
KLF10	1.2857142857142856	1.0	cell_7	1	7	AMP	1.0
DAZAP2	-0.2857142857142858	1.0	cell_7	1	7	DEL	1.0
LARP4	-0.5714285714285714	1.0	cell_7	1	7	DEL	1.0
CERS5	-0.5714285714285714	1.0	cell_7	1	7	DEL	1.0
TUBA1C	-0.5714285714285714	1.0	cell_7	1	7	DEL	1.0
PRKAG1	-0.5714285714285714	1.0	cell_7	1	7	DEL	1.0
FKBP11	-0.5714285714285714	1.0	cell_7	1	7	DEL	1.0
SLC38A1	-0.8571428571428572	1.0	cell_7	1	7	DEL	1.0
ZCRB1	-0.8571428571428572	1.0	cell_7	1	7	DEL	1.0
LDHB	-1.2857142857142856	1.0	cell_7	1	7	DEL	1.0
GOLT1B	-1.4285714285714286	1.0	cell_7	1	7	DEL	1.0
STRAP	-1.4285714285714286	1.0	cell_7	1	7	DEL	1.0
ARHGDIB	-1.4285714285714286	1.0	cell_7	1	7	DEL	1.0
ATF7IP	-1.5714285714285714	1.0	cell_7	1	7	DEL	1.0
GABARAPL1	-1.5714285714285714	1.0	cell_7	1	7	DEL	1.0
A2M	-1.5714285714285714	1.0	cell_7	1	7	DEL	1.0
M6PR	-1.7142857142857144	1.0	cell_7	1	7	DEL	1.0
PHB2	-2.0	1.0	cell_7	1	7	DEL	1.0
NR4A1	-0.2857142857142858	1.0	cell_7	1	7	DEL	1.0
KRT6B	-0.2857142857142858	1.0	cell_7	1	7	DEL	1.0
CTDSP2	0.1428571428571428	1.0	cell_7	1	7	AMP	1.0
USP15	0.1428571428571428	1.0	cell_7	1	7	AMP	1.0
DYNLL1	0.5714285714285716	1.0	cell_7	1	7	AMP	1.0
COX6A1	0.4285714285714284	1.0	cell_7	1	7	AMP	1.0
PXN	0.4285714285714284	1.0	cell_7	1	7	AMP	1.0
RPLP0	0.4285714285714284	1.0	cell_7	1	7	AMP	1.0
HSPB8	0.2857142857142856	1.0	cell_7	1	7	AMP	1.0
RBM19	0.2857142857142856	1.0	cell_7	1	7	AMP	1.0
OAS1	0.2857142857142856	1.0	cell_7	1	7	AMP	1.0
TRAFD1	0.1428571428571428	1.0	cell_7	1	7	AMP	1.0
EMG1	-2.0	1.0	cell_7	1	7	DEL	1.0
ERP29	0.1428571428571428	1.0	cell_7	1	7	AMP	1.0
GPN3	0.1428571428571428	1.0	cell_7	1	7	AMP	1.0
NAP1L1	0.1428571428571428	1.0	cell_7	1	7	AMP	1.0
CNOT2	0.1428571428571428	1.0	cell_7	1	7	AMP	1.0
CCT2	0.1428571428571428	1.0	cell_7	1	7	AMP	1.0
MDM2	0.1428571428571428	1.0	cell_7	1	7	AMP	1.0
RAP1B	0.1428571428571428	1.0	cell_7	1	7	AMP	1.0
LLPH	0.1428571428571428	1.0	cell_7	1	7	AMP	1.0
GNS	0.1428571428571428	1.0	cell_7	1	7	AMP	1.0
ALDH2	0.1428571428571428	1.0	cell_7	1	7	AMP	1.0
ZNF706	1.2857142857142856	1.0	cell_7	1	7	AMP	1.0
PTPN6	-2.0	1.0	cell_7	1	7	DEL	1.0
MLF2	-2.0	1.0	cell_7	1	7	DEL	1.0
FAM49B	1.2857142857142856	1.0	cell_7	1	7	AMP	1.0
NSMCE2	1.1428571428571428	1.0	cell_7	1	7	AMP	1.0
KIAA0196	1.1428571428571428	1.0	cell_7	1	7	AMP	1.0
SQLE	1.1428571428571428	1.0	cell_7	1	7	AMP	1.0
MTSS1	1.1428571428571428	1.0	cell_7	1	7	AMP	1.0
NDUFB9	1.1428571428571428	1.0	cell_7	1	7	AMP	1.0
TATDN1	1.1428571428571428	1.0	cell_7	1	7	AMP	1.0
FAM83A	1.1428571428571428	1.0	cell_7	1	7	AMP	1.0
MRPL13	1.1428571428571428	1.0	cell_7	1	7	AMP	1.0
MED30	1.1428571428571428	1.0	cell_7	1	7	AMP	1.0
EIF3H	1.1428571428571428	1.0	cell_7	1	7	AMP	1.0
EMC2	1.1428571428571428	1.0	cell_7	1	7	AMP	1.0
SLC25A32	1.1428571428571428	1.0	cell_7	1	7	AMP	1.0
CTHRC1	1.1428571428571428	1.0	cell_7	1	7	AMP	1.0
FZD6	1.1428571428571428	1.0	cell_7	1	7	AMP	1.0
ATP6V1C1	1.1428571428571428	1.0	cell_7	1	7	AMP	1.0
AZIN1	1.1428571428571428	1.0	cell_7	1	7	AMP	1.0
EFR3A	1.2857142857142856	1.0	cell_7	1	7	AMP	1.0
PHF20L1	1.2857142857142856	1.0	cell_7	1	7	AMP	1.0
NDRG1	1.2857142857142856	1.0	cell_7	1	7	AMP	1.0
CHRAC1	1.2857142857142856	1.0	cell_7	1	7	AMP	1.0
COPS7A	-2.0	1.0	cell_7	1	7	DEL	1.0
CHD4	-2.0	1.0	cell_7	1	7	DEL	1.0
TAPBPL	-2.0	1.0	cell_7	1	7	DEL	1.0
LTBR	-2.0	1.0	cell_7	1	7	DEL	1.0
NDUFA9	-2.0	1.0	cell_7	1	7	DEL	1.0
C8orf33	1.5714285714285716	1.0	cell_7	1	7	AMP	1.0
COMMD5	1.5714285714285716	1.0	cell_7	1	7	AMP	1.0
CYHR1	1.5714285714285716	1.0	cell_7	1	7	AMP	1.0
C12orf57	-2.0	1.0	cell_7	1	7	DEL	1.0
SLC52A2	1.5714285714285716	1.0	cell_7	1	7	AMP	1.0
MAF1	1.5714285714285716	1.0	cell_7	1	7	AMP	1.0
CYC1	1.5714285714285716	1.0	cell_7	1	7	AMP	1.0
GPAA1	1.5714285714285716	1.0	cell_7	1	7	AMP	1.0
GRINA	1.5714285714285716	1.0	cell_7	1	7	AMP	1.0
PLEC	1.5714285714285716	1.0	cell_7	1	7	AMP	1.0
PUF60	1.4285714285714284	1.0	cell_7	1	7	AMP	1.0
NAPRT1	1.4285714285714284	1.0	cell_7	1	7	AMP	1.0
LY6D	1.2857142857142856	1.0	cell_7	1	7	AMP	1.0
HSF1	1.5714285714285716	1.0	cell_7	1	7	AMP	1.0
EIF2B1	0.3999999999999999	1.0	cell_4	2	5	AMP	1.0
