cell	segment	score	deviation	depth	subtreesize	pvalue
HNSCC5_p3_HNSCC5_P3_C11	chr8_2	1.3862943611198906	2	5	1	0.5445344129554656
HNSCC5_p3_HNSCC5_P3_C11	chr12_1	-0.6931471805599453	-1	5	1	1.0
HNSCC5_p3_HNSCC5_P3_C11	chr12_3	0.6931471805599453	1	5	1	1.0
HNSCC5_p13_P13_C07	chr8_1	2.70805020110221	1	6	14	1.0
HNSCC5_p13_P13_C07	chr8_2	5.41610040220442	2	6	14	0.5539714867617108
HNSCC5_p13_P13_C07	chr12_1	-2.70805020110221	-1	6	14	1.0
HNSCC5_p9_HNSCC5_P9_B09	chr7_2	-1.9459101490553132	-1	4	6	1.0
HNSCC5_p9_HNSCC5_P9_B09	chr8_2	3.8918202981106265	2	4	6	0.5983606557377049
HNSCC5_p9_HNSCC5_P9_B09	chr12_1	-1.9459101490553132	-1	4	6	1.0
HNSCC5_p7_HNSCC5_P7_D10	chr8_2	1.3862943611198906	2	5	1	0.5934959349593496
HNSCC5_p7_HNSCC5_P7_D10	chr12_1	-0.6931471805599453	-1	5	1	1.0
HNSCC5_p7_HNSCC5_P7_D10	chr12_3	0.6931471805599453	1	5	1	1.0
HNSCC5_p5_P5_B05	chr8_1	0.6931471805599453	1	7	1	1.0
HNSCC5_p5_P5_B05	chr8_2	1.3862943611198906	2	7	1	0.5882352941176471
HNSCC5_p5_P5_B05	chr12_1	-0.6931471805599453	-1	7	1	1.0
HNSCC5_p7_HNSCC5_P7_A04	chr7_1	1.0986122886681098	1	7	2	1.0
HNSCC5_p7_HNSCC5_P7_A04	chr8_1	1.0986122886681098	1	7	2	1.0
HNSCC5_p7_HNSCC5_P7_A04	chr8_2	2.1972245773362196	2	7	2	0.5882352941176471
HNSCC5_p7_HNSCC5_P7_A04	chr12_1	-1.0986122886681098	-1	7	2	1.0
HNSCC5_p7_HNSCC5_P7_B09	chr8_1	0.6931471805599453	1	7	1	1.0
HNSCC5_p7_HNSCC5_P7_B09	chr8_2	1.3862943611198906	2	7	1	0.5840163934426229
HNSCC5_p7_HNSCC5_P7_B09	chr12_1	-0.6931471805599453	-1	7	1	1.0
HNSCC5_p9_HNSCC5_P9_D05	chr8_2	2.0794415416798357	1	7	7	1.0
HNSCC5_p9_HNSCC5_P9_D05	chr12_1	-2.0794415416798357	-1	7	7	1.0
HNSCC5_p9_HNSCC5_P9_E10	chr8_2	1.3862943611198906	2	4	1	0.5571428571428572
HNSCC5_p9_HNSCC5_P9_E10	chr12_1	-0.6931471805599453	-1	4	1	1.0
HNSCC5_p9_HNSCC5_P9_E10	chr12_3	-0.6931471805599453	-1	4	1	1.0
HNSCC5_p5_P5_H06	chr8_1	0.6931471805599453	1	6	1	1.0
HNSCC5_p5_P5_H06	chr8_2	1.3862943611198906	2	6	1	0.6060606060606061
HNSCC5_p5_P5_H06	chr12_1	-0.6931471805599453	-1	6	1	1.0
HNSCC5_p5_P5_H06	chr12_3	0.6931471805599453	1	6	1	1.0
HNSCC5_p15_HNSCC5_P15_B12	chr8_2	0.6931471805599453	1	8	1	1.0
HNSCC5_p15_HNSCC5_P15_B12	chr12_1	-0.6931471805599453	-1	8	1	1.0
HNSCC5_p15_HNSCC5_P15_A09	chr8_2	0.6931471805599453	1	8	1	1.0
HNSCC5_p15_HNSCC5_P15_A09	chr12_1	-0.6931471805599453	-1	8	1	1.0
HNSCC5_p9_HNSCC5_P9_C12	chr7_2	-0.6931471805599453	-1	6	1	1.0
HNSCC5_p9_HNSCC5_P9_C12	chr12_1	-0.6931471805599453	-1	6	1	1.0
HNSCC5_p9_HNSCC5_P9_C12	chr12_3	0.6931471805599453	1	6	1	1.0
HNSCC5_p3_HNSCC5_P3_H01	chr8_2	0.6931471805599453	1	8	1	1.0
HNSCC5_p3_HNSCC5_P3_H01	chr12_1	-0.6931471805599453	-1	8	1	1.0
HNSCC5_p14_HNSCC5_P14_LN_A07	chr7_1	-1.0986122886681098	-1	5	2	1.0
HNSCC5_p14_HNSCC5_P14_LN_A07	chr8_2	1.0986122886681098	1	5	2	1.0
HNSCC5_p14_HNSCC5_P14_LN_A07	chr12_1	-1.0986122886681098	-1	5	2	1.0
HNSCC5_p5_P5_F11	chr7_1	0.6931471805599453	1	2	1	1.0
HNSCC5_p5_P5_F11	chr8_2	0.6931471805599453	1	2	1	1.0
HNSCC5_p5_P5_F11	chr12_1	-0.6931471805599453	-1	2	1	1.0
HNSCC5_p7_HNSCC5_P7_C10	chr8_2	1.3862943611198906	2	4	1	0.5456389452332657
HNSCC5_p7_HNSCC5_P7_C10	chr12_1	-0.6931471805599453	-1	4	1	1.0
HNSCC5_p13_P13_F10	chr8_1	0.6931471805599453	1	6	1	1.0
HNSCC5_p13_P13_F10	chr8_2	1.3862943611198906	2	6	1	0.5356415478615071
HNSCC5_p13_P13_F10	chr12_1	-0.6931471805599453	-1	6	1	1.0
HNSCC5_p13_P13_F10	chr12_3	0.6931471805599453	1	6	1	1.0
HNSCC5_p14_HNSCC5_P14_LN_C09	chr8_1	0.6931471805599453	1	7	1	1.0
HNSCC5_p14_HNSCC5_P14_LN_C09	chr8_2	1.3862943611198906	2	7	1	0.6032719836400818
HNSCC5_p14_HNSCC5_P14_LN_C09	chr12_1	-0.6931471805599453	-1	7	1	1.0
HNSCC5_p9_HNSCC5_P9_D08	chr7_1	0.6931471805599453	1	3	1	1.0
HNSCC5_p9_HNSCC5_P9_D08	chr8_2	1.3862943611198906	2	3	1	0.5253549695740365
HNSCC5_p9_HNSCC5_P9_D08	chr12_1	-0.6931471805599453	-1	3	1	1.0
HNSCC5_p9_HNSCC5_P9_D08	chr12_3	-0.6931471805599453	-1	3	1	1.0
HNSCC5_p9_HNSCC5_P9_F10	chr7_1	0.6931471805599453	1	3	1	1.0
HNSCC5_p9_HNSCC5_P9_F10	chr8_1	0.6931471805599453	1	3	1	1.0
HNSCC5_p9_HNSCC5_P9_F10	chr8_2	0.6931471805599453	1	3	1	1.0
HNSCC5_p9_HNSCC5_P9_F10	chr12_1	-0.6931471805599453	-1	3	1	1.0
HNSCC5_p13_P13_E03	chr7_2	-1.0986122886681098	-1	5	2	1.0
HNSCC5_p13_P13_E03	chr8_2	1.0986122886681098	1	5	2	1.0
HNSCC5_p13_P13_E03	chr12_1	-1.0986122886681098	-1	5	2	1.0
HNSCC5_p7_HNSCC5_P7_G05	chr8_2	0.6931471805599453	1	8	1	1.0
HNSCC5_p7_HNSCC5_P7_G05	chr12_1	-0.6931471805599453	-1	8	1	1.0
HNSCC5_p15_HNSCC5_P15_E07	chr8_2	0.6931471805599453	1	8	1	1.0
HNSCC5_p15_HNSCC5_P15_E07	chr12_1	-0.6931471805599453	-1	8	1	1.0
HNSCC5_p13_P13_C06	chr7_1	-0.6931471805599453	-1	6	1	1.0
HNSCC5_p13_P13_C06	chr8_1	0.6931471805599453	1	6	1	1.0
HNSCC5_p13_P13_C06	chr8_2	0.6931471805599453	1	6	1	1.0
HNSCC5_p13_P13_C06	chr12_1	-0.6931471805599453	-1	6	1	1.0
HNSCC5_p5_P5_E11	chr8_2	0.6931471805599453	1	8	1	1.0
HNSCC5_p5_P5_E11	chr12_1	-0.6931471805599453	-1	8	1	1.0
HNSCC5_p14_HNSCC5_P14_LN_G06	chr8_2	1.3862943611198906	2	5	1	0.5664621676891616
HNSCC5_p14_HNSCC5_P14_LN_G06	chr12_1	-0.6931471805599453	-1	5	1	1.0
HNSCC5_p14_HNSCC5_P14_LN_G06	chr12_3	0.6931471805599453	1	5	1	1.0
HNSCC5_p9_HNSCC5_P9_G07	chr7_1	0.6931471805599453	1	3	1	1.0
HNSCC5_p9_HNSCC5_P9_G07	chr7_2	-0.6931471805599453	-1	3	1	1.0
HNSCC5_p9_HNSCC5_P9_G07	chr8_1	0.6931471805599453	1	3	1	1.0
HNSCC5_p9_HNSCC5_P9_G07	chr8_2	0.6931471805599453	1	3	1	1.0
HNSCC5_p9_HNSCC5_P9_G07	chr12_1	-0.6931471805599453	-1	3	1	1.0
HNSCC5_p5_P5_E03	chr7_1	0.6931471805599453	1	2	1	1.0
HNSCC5_p5_P5_E03	chr8_2	0.6931471805599453	1	2	1	1.0
HNSCC5_p5_P5_E03	chr12_1	-0.6931471805599453	-1	2	1	1.0
HNSCC5_p9_HNSCC5_P9_B10	chr8_2	1.3862943611198906	2	4	1	0.5670103092783505
HNSCC5_p9_HNSCC5_P9_B10	chr12_1	-0.6931471805599453	-1	4	1	1.0
HNSCC5_p14_HNSCC5_P14_LN_A09	chr7_1	-0.6931471805599453	-1	5	1	1.0
HNSCC5_p14_HNSCC5_P14_LN_A09	chr8_2	1.3862943611198906	2	5	1	0.5469387755102041
HNSCC5_p14_HNSCC5_P14_LN_A09	chr12_1	-0.6931471805599453	-1	5	1	1.0
HNSCC5_p13_P13_G08	chr8_2	1.3862943611198906	2	4	1	0.5489795918367347
HNSCC5_p13_P13_G08	chr12_1	-0.6931471805599453	-1	4	1	1.0
HNSCC5_p15_HNSCC5_P15_A11	chr8_2	1.3862943611198906	2	4	1	0.5404858299595142
HNSCC5_p15_HNSCC5_P15_A11	chr12_1	-0.6931471805599453	-1	4	1	1.0
HNSCC5_p13_P13_H09	chr7_2	-0.6931471805599453	-1	5	1	1.0
HNSCC5_p13_P13_H09	chr8_2	1.3862943611198906	2	5	1	0.591919191919192
HNSCC5_p13_P13_H09	chr12_1	-0.6931471805599453	-1	5	1	1.0
HNSCC5_p13_P13_H09	chr12_3	0.6931471805599453	1	5	1	1.0
HNSCC5_p9_HNSCC5_P9_H03	chr7_1	3.9318256327243257	1	0	50	1.0
HNSCC5_p9_HNSCC5_P9_H03	chr8_2	3.9318256327243257	1	0	50	1.0
HNSCC5_p15_HNSCC5_P15_G03	chr8_2	0.6931471805599453	1	6	1	1.0
HNSCC5_p15_HNSCC5_P15_G03	chr12_1	-0.6931471805599453	-1	6	1	1.0
HNSCC5_p15_HNSCC5_P15_G03	chr12_3	0.6931471805599453	1	6	1	1.0
HNSCC5_p13_P13_G05	chr7_2	-0.6931471805599453	-1	5	1	1.0
HNSCC5_p13_P13_G05	chr8_2	1.3862943611198906	2	5	1	0.6064908722109533
HNSCC5_p13_P13_G05	chr12_1	-0.6931471805599453	-1	5	1	1.0
HNSCC5_p13_P13_A05	chr7_1	-0.6931471805599453	-1	7	1	1.0
HNSCC5_p13_P13_A05	chr8_1	0.6931471805599453	1	7	1	1.0
HNSCC5_p13_P13_A05	chr8_2	1.3862943611198906	2	7	1	0.5510204081632653
HNSCC5_p13_P13_A05	chr12_1	-0.6931471805599453	-1	7	1	1.0
HNSCC5_p9_HNSCC5_P9_E09	chr7_1	0.6931471805599453	1	2	1	1.0
HNSCC5_p9_HNSCC5_P9_E09	chr8_2	0.6931471805599453	1	2	1	1.0
HNSCC5_p9_HNSCC5_P9_E09	chr12_1	-0.6931471805599453	-1	2	1	1.0
HNSCC5_p9_HNSCC5_P9_E09	chr12_3	0.6931471805599453	1	2	1	1.0
HNSCC5_p3_HNSCC5_P3_G07	chr7_2	-0.6931471805599453	-1	5	1	1.0
HNSCC5_p3_HNSCC5_P3_G07	chr8_1	0.6931471805599453	1	5	1	1.0
HNSCC5_p3_HNSCC5_P3_G07	chr8_2	1.3862943611198906	2	5	1	0.5670731707317073
HNSCC5_p3_HNSCC5_P3_A04	chr7_1	0.6931471805599453	1	2	1	1.0
HNSCC5_p3_HNSCC5_P3_A04	chr8_2	0.6931471805599453	1	2	1	1.0
HNSCC5_p3_HNSCC5_P3_A04	chr12_1	-0.6931471805599453	-1	2	1	1.0
